Source,Species,Latitud,Longitud,Date,Location,State/Islands
J.Gibb 2018,Lasioglossum (Dialictus) gundlachii,NA,NA,10 May 1985,Luquillo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) gundlachii,NA,NA,20 nov 1925,Manati,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) gundlachii,NA,NA,15-16 Feb,Mayagüez,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) gundlachii,NA,NA,Sep 1960,Peñuelas,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) gundlachii,18°07.4616′ N,66°38.2638′ W,13 Jan 10 Feb 2015,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) gundlachii,NA,NA,12 jun 2007,Rio Grande,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) gundlachii,NA,NA,18 nov 1992,Guaynabo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) gundlachii,NA,NA,23 Dec 1962,San German,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) gundlachii,17°59.705′ N,66°25.063′ W,23 Jan 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) gundlachii,NA,NA,2 Aug 1985,Toa Baja,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) gundlachii,NA,NA,29 jun 1986,Trujillo Alto,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) gundlachii,NA,NA,Mar 1986,Utuado,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) gundlachii,18°07.996′ N,66°49.002′ W,10 Oct - 5 Nov 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Habralictellus) eickwortellum,NA,NA,NA,Ponce Jayuya,Puerto Rico
J.Gibb 2018,Lasioglossum (Habralictellus) eickwortellum,18°07.4616′ N,66°38.2638′ W,15 Jul - 12 Aug 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Habralictellus) eickwortellum,NA,NA,2 Sep 2007,Rio Grande,Puerto Rico
J.Gibb 2018,Lasioglossum (Habralictellus) eickwortellum,18°08.188′ N,W66°49.107′ W,20 Jun - 18 Jul 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Habralictellus) rufopanticis,NA,NA,1-9 Feb 1967,Fajardo,Puerto Rico
J.Gibb 2018,Lasioglossum (Habralictellus) rufopanticis,NA,NA,27 Apr 1991,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Habralictellus) rufopanticis,18°08.626 ʹ N,66°58.798 ʹ W,18 Jul - 15 Aug 2014,Maricao,Puerto Rico
J.Gibb 2018,Lasioglossum (Habralictellus) rufopanticis,NA,NA,11 nov 1992,Mayagüez,Puerto Rico
J.Gibb 2018,Lasioglossum (Habralictellus) rufopanticis,NA,NA,13 May 1985,Luquillo,Puerto Rico
J.Gibb 2018,Lasioglossum (Habralictellus) rufopanticis,NA,NA,30 May 2006,Qubradillas,Puerto Rico
Genaro 2001,Lasioglossum (Dialictus) adriani,NA,NA, Aug 2000," Sierra de Gabino, Sierra de Guane, Pinar del Río, Cuba",Cuba
Genaro 2001,Lasioglossum (Dialictus) adriani,NA,NA,1947," Sierra de Gabino, Sierra de Guane, Pinar del Río, Cuba",Cuba
Genaro 2001,Lasioglossum (Dialictus) adriani,NA,NA, Aug 2000," Sierra de Gabino, Sierra de Guane, Pinar del Río, Cuba",Cuba
Genaro 2001,Lasioglossum (Dialictus) sierramaestrensis ,NA,NA,jun 2001," La Gran Piedra, Sierra Maestra, Santiago de Cuba, Cuba",Cuba
Genaro 2001,Lasioglossum (Dialictus) sierramaestrensis ,NA,NA,jun 1963,Pico Turquino,Cuba
Genaro 2001,Lasioglossum (Dialictus) sierramaestrensis ,NA,NA,jul 1963,Gran Piedra,Cuba
Genaro 2001,Lasioglossum (Dialictus) sierramaestrensis ,NA,NA,jun 1962,Gran Piedra,Cuba
Genaro 2001,Lasioglossum (Dialictus) sierramaestrensis ,NA,NA,jun 1967,Gran Piedra,Cuba
Genaro 2001,Lasioglossum (Dialictus) sierramaestrensis ,NA,NA,May 1969,Gran Piedra,Cuba
Genaro 2001,Lasioglossum (Dialictus) sierramaestrensis ,NA,NA,May 1969,Gran Piedra,Cuba
Genaro 2001,Lasioglossum (Dialictus) sierramaestrensis ,NA,NA,May 1969,Gran Piedra,Cuba
