"","Source","Species","Latitud","Longitud","Date","Location","State.Islands"
"109","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.8113888888889,64.9333333333333,"28 oct 1992","Guana Island","British Virgin Islands"
"110","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.4833333333333,64.5666666666667,"22 Apr. 1993","Guana Island","British Virgin Islands"
"111","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.4833333333333,64.5666666666667,"23 Apr. 1993","Guana Island","British Virgin Islands"
"112","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.4686111111111,64.5666666666667,"28 jun 1993","Guana Island","British Virgin Islands"
"113","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.8113888888889,64.9333333333333,"18 oct 1992","Guana Island","British Virgin Islands"
"114","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.8113888888889,64.9333333333333,"25 oct 1992","Guana Island","British Virgin Islands"
"115","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.8113888888889,64.9333333333333,"Jan. 2002","Guana Island","British Virgin Islands"
"116","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.4833333333333,64.5666666666667,"5 jul 1993","Guana Island","British Virgin Islands"
"117","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.4686111111111,64.5666666666667,"9 jul 1993","Guana Island","British Virgin Islands"
"118","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",23.9625,165.169166666667,"21 jul 1987","Necker Island","British Virgin Islands"
